"dx","opname","optype","approach","position","count","ml_base_category","ml_confidence_pct","Level1_magnitude","Level2_domain","Level3_approach","Level4_subtype","Level5_modifiers","Level6_secondary_variables"
"Early gastric cancer","Distal gastrectomy","Stomach","Videoscopic","Supine","132","Stomach","72.0","Major","Abdominal / GI","Laparoscopic","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Lung cancer right","Lung lobectomy","Major resection","Videoscopic","Left lateral decubitus","119","Major resection","70.8","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Gallbladder stone without obstruction","Cholecystectomy","Biliary/Pancreas","Videoscopic","Supine","102","Biliary/Pancreas","62.7","Major","Abdominal / GI","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"End stage renal disease","Kidney transplantation","Transplantation","Open","Supine","83","Transplantation","63.2","Major","Urology","Open","Transplant / Major Reconstruction","Benign/Non-malignant | Primary | Transplant/Reconstruction | Supine","Est.Duration:3-6hr"
"Lung cancer left","Lung lobectomy","Major resection","Videoscopic","Right lateral decubitus","68","Major resection","71.5","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Colon cancer, sigmoid","Anterior resection","Colorectal","Videoscopic","Lithotomy","62","Colorectal","72.0","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:1-3hr"
"Varicose vein of lower limb","Ligation and stripping","Vascular","Open","Supine","61","Vascular","70.9","Minor","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Infiltrating ductal carcinoma of breast right","Breast-conserving surgery","Breast","Open","Supine","58","Breast","56.9","Major","ENT / Head & Neck","Open","Breast Surgery","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Thyroid nodule","Thyroid lobectomy","Thyroid","Open","Supine","58","Thyroid","75.6","Major","ENT / Head & Neck","Open","Thyroid / Parathyroid","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Early gastric cancer","Distal gastrectomy","Stomach","Videoscopic","Supine","55","Stomach","72.0","Major","Abdominal / GI","Laparoscopic","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Inguinal hernia not specified as recurrent","Hernia repair","Colorectal","Open","Supine","54","Colorectal","60.1","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Revision | Supine","Est.Duration:<2hr"
"Thyroid nodule","Total thyroidectomy","Thyroid","Open","Supine","52","Thyroid","77.1","Major","ENT / Head & Neck","Open","Thyroid / Parathyroid","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Breast cancer right","Breast-conserving surgery","Breast","Open","Supine","48","Breast","76.9","Major","ENT / Head & Neck","Open","Breast Surgery","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Colon cancer, sigmoid","Anterior resection","Colorectal","Open","Lithotomy","42","Colorectal","60.2","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:1-3hr"
"Early gastric cancer","Pylorus preserving gastrectomy","Stomach","Videoscopic","Supine","41","Stomach","78.6","Major","Abdominal / GI","Laparoscopic","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Colon cancer, ascending","Hemicolectomy","Colorectal","Open","Supine","41","Colorectal","66.8","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Acute cholecystitis","Cholecystectomy","Biliary/Pancreas","Videoscopic","Supine","40","Biliary/Pancreas","70.3","Major","Abdominal / GI","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Gallbladder polyp","Cholecystectomy","Biliary/Pancreas","Videoscopic","Supine","40","Biliary/Pancreas","71.6","Major","Abdominal / GI","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Advanced gastric cancer","Distal gastrectomy","Stomach","Videoscopic","Supine","37","Stomach","70.3","Major","Abdominal / GI","Laparoscopic","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Hepatocellular carcinoma","Liver transplantation","Transplantation","Open","Supine","35","Transplantation","71.7","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Transplant/Reconstruction | Supine","Est.Duration:>6hr"
"Infiltrating ductal carcinoma of breast left","Breast-conserving surgery","Breast","Open","Supine","35","Breast","56.9","Major","ENT / Head & Neck","Open","Breast Surgery","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Living liver donor","Donor hepatectomy","Transplantation","Videoscopic","Lithotomy","33","Transplantation","63.0","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:>6hr"
"Breast cancer left","Breast-conserving surgery","Breast","Open","Supine","32","Breast","77.5","Major","ENT / Head & Neck","Open","Breast Surgery","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Rectal cancer","Low anterior resection","Colorectal","Open","Lithotomy","31","Colorectal","66.8","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Symptomatic gallbladder stone without obstruction","Cholecystectomy","Biliary/Pancreas","Videoscopic","Supine","30","Biliary/Pancreas","62.8","Major","Abdominal / GI","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Rectal cancer","Ileostomy repair","Colorectal","Open","Supine","29","Colorectal","75.7","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Revision | Supine","Est.Duration:<2hr"
"Incisional hernia","Incisional hernia repair","Colorectal","Open","Supine","29","Colorectal","73.0","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Revision | Supine","Est.Duration:<2hr"
"Breast cancer unspecified side","Breast-conserving surgery","Breast","Open","Supine","28","Breast","56.9","Major","ENT / Head & Neck","Open","Breast Surgery","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Gallbladder polyp","Cholecystectomy","Biliary/Pancreas","Videoscopic","Supine","27","Biliary/Pancreas","71.6","Major","Abdominal / GI","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Living liver donor","Donor hepatectomy","Transplantation","Videoscopic","Supine","27","Transplantation","63.0","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:>6hr"
"Thyroid nodule","Thyroid lobectomy","Thyroid","Open","Supine","27","Thyroid","75.6","Major","ENT / Head & Neck","Open","Thyroid / Parathyroid","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Gallbladder stone","Cholecystectomy","Biliary/Pancreas","Videoscopic","Supine","26","Biliary/Pancreas","71.6","Major","Abdominal / GI","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Advanced gastric cancer","Total gastrectomy","Stomach","Open","Supine","26","Stomach","80.5","Major","Abdominal / GI","Open","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Varicose vein of lower limb","Ligation and stripping","Vascular","Open","Supine","26","Vascular","70.9","Minor","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Prostate cancer","Radical prostatectomy","Major resection","Robotic","Lithotomy","25","Major resection","77.5","Major","Urology","Robotic","Other Procedure","Malignancy | Primary | Lithotomy","Est.Duration:2-5hr"
"Pancreatic cancer","Pylorus preserving pancreaticoduodenectomy","Biliary/Pancreas","Open","Supine","25","Biliary/Pancreas","84.4","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:>6hr"
"Ileostomy status","Ileostomy repair","Colorectal","Open","Supine","25","Colorectal","57.7","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Revision | Supine","Est.Duration:<2hr"
"Colon cancer, ascending","Hemicolectomy","Colorectal","Videoscopic","Lithotomy","25","Colorectal","66.8","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Gallbladder stone with cholecystitis without obstruction","Cholecystectomy","Biliary/Pancreas","Videoscopic","Supine","22","Others","56.8","Major","Urology","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Prostate cancer","Radical prostatectomy","Major resection","Robotic","Lithotomy","21","Major resection","77.5","Major","Urology","Robotic","Other Procedure","Malignancy | Primary | Lithotomy","Est.Duration:2-5hr"
"Kidney donor, live related","Donor nephrectomy","Transplantation","Videoscopic","Right lateral decubitus","21","Transplantation","71.2","Major","Urology","Laparoscopic","Transplant / Major Reconstruction","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Abnormal chest CT, lung nodule","Lung wedge resection","Minor resection","Videoscopic","Left lateral decubitus","21","Minor resection","68.8","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Rectal cancer","Low anterior resection","Colorectal","Open","Lithotomy","21","Colorectal","66.8","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Hepatocellular carcinoma","Hemihepatectomy","Hepatic","Open","Supine","21","Hepatic","67.5","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:3-6hr"
"Kidney donor","Donor nephrectomy","Transplantation","Videoscopic","Right lateral decubitus","21","Transplantation","72.6","Major","Urology","Laparoscopic","Transplant / Major Reconstruction","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Gallbladder stone with obstruction","Cholecystectomy","Biliary/Pancreas","Videoscopic","Supine","20","Biliary/Pancreas","63.6","Major","Abdominal / GI","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Rectal cancer","Low anterior resection","Colorectal","Videoscopic","Lithotomy","20","Colorectal","79.8","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Thyroid nodule","Total thyroidectomy","Thyroid","Open","Supine","20","Thyroid","77.1","Major","ENT / Head & Neck","Open","Thyroid / Parathyroid","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Early gastric cancer","Total gastrectomy","Stomach","Videoscopic","Supine","20","Stomach","71.3","Major","Abdominal / GI","Laparoscopic","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Advanced gastric cancer","Distal gastrectomy","Stomach","Videoscopic","Supine","19","Stomach","70.3","Major","Abdominal / GI","Laparoscopic","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Papillary thyroid carcinoma","Total thyroidectomy","Thyroid","Robotic","Supine","18","Thyroid","69.0","Major","ENT / Head & Neck","Robotic","Thyroid / Parathyroid","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Abnormal chest CT, lung nodule","Lung wedge resection","Minor resection","Videoscopic","Right lateral decubitus","18","Minor resection","68.8","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Advanced gastric cancer","Diagnostic laparoscopy","Others","Videoscopic","Supine","17","Others","72.9","Minor","Soft Tissue / Access / Misc","Laparoscopic","Other Procedure","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Ovarian cyst","Ovarian cystectomy","Major resection","Videoscopic","Lithotomy","17","Major resection","78.2","Major","Abdominal / GI","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:1-3hr"
"Solitary pulmonary nodule","Lung wedge resection","Minor resection","Videoscopic","Right lateral decubitus","17","Minor resection","70.6","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Ductal carcinoma in situ of breast unspecified side","Breast-conserving surgery","Breast","Open","Supine","17","Breast","56.9","Major","ENT / Head & Neck","Open","Breast Surgery","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Colon cancer, rectosigmoid","Anterior resection","Colorectal","Open","Lithotomy","17","Colorectal","60.2","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:1-3hr"
"Rectal cancer","Ileostomy repair","Colorectal","Open","Supine","16","Colorectal","75.7","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Revision | Supine","Est.Duration:<2hr"
"Anal fistula","Fistulectomy","Colorectal","Open","Prone","16","Colorectal","73.0","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Prone","Est.Duration:<2hr"
"Solitary pulmonary nodule","Lung wedge resection","Minor resection","Videoscopic","Left lateral decubitus","16","Minor resection","70.6","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Early gastric cancer","Distal gastrectomy","Stomach","Videoscopic","Reverse Trendelenburg","16","Stomach","72.0","Major","Abdominal / GI","Laparoscopic","Gastric Resection","Malignancy | Primary | Trendelenburg","Est.Duration:2-5hr"
"Abnormal chest CT, lung","Lung wedge resection","Minor resection","Videoscopic","Left lateral decubitus","16","Minor resection","72.2","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Kidney donor","Donor nephrectomy","Transplantation","Videoscopic","Right lateral decubitus","15","Transplantation","72.6","Major","Urology","Laparoscopic","Transplant / Major Reconstruction","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Acute appendicitis","Appendectomy","Colorectal","Open","Supine","15","Colorectal","68.1","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Advanced gastric cancer","Subtotal gastrectomy","Stomach","Open","Supine","15","Stomach","65.7","Major","Abdominal / GI","Open","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Ductal carcinoma in situ of breast left","Breast-conserving surgery","Breast","Open","Supine","15","Breast","56.9","Major","ENT / Head & Neck","Open","Breast Surgery","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Abnormal chest CT, lung","Lung wedge resection","Minor resection","Videoscopic","Right lateral decubitus","15","Minor resection","72.2","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Advanced gastric cancer","Subtotal gastrectomy","Stomach","Open","Supine","14","Stomach","65.7","Major","Abdominal / GI","Open","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Early gastric cancer","Pylorus preserving gastrectomy","Stomach","Videoscopic","Supine","14","Stomach","78.6","Major","Abdominal / GI","Laparoscopic","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Acute appendicitis","Appendectomy","Colorectal","Videoscopic","Supine","14","Colorectal","68.1","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Colon cancer, sigmoid","Anterior resection","Colorectal","Open","Supine","14","Colorectal","60.2","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Ductal carcinoma in situ of breast right","Breast-conserving surgery","Breast","Open","Supine","14","Breast","56.9","Major","ENT / Head & Neck","Open","Breast Surgery","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Colon cancer, rectosigmoid","Low anterior resection","Colorectal","Videoscopic","Lithotomy","13","Colorectal","71.8","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Colon cancer, rectosigmoid","Low anterior resection","Colorectal","Open","Lithotomy","13","Colorectal","71.8","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Chronic kidney disease","Kidney transplantation","Transplantation","Open","Supine","13","Transplantation","72.4","Major","Urology","Open","Transplant / Major Reconstruction","Benign/Non-malignant | Primary | Transplant/Reconstruction | Supine","Est.Duration:3-6hr"
"Incisional hernia","Incisional hernia repair","Colorectal","Open","Supine","13","Colorectal","73.0","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Revision | Supine","Est.Duration:<2hr"
"Gallbladder stone without obstruction","Cholecystectomy","Biliary/Pancreas","Robotic","Supine","13","Biliary/Pancreas","62.7","Major","Abdominal / GI","Robotic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Solitary pulmonary nodule","Lung wedge resection","Minor resection","Videoscopic","Left lateral decubitus","13","Minor resection","70.6","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Colon cancer, rectosigmoid","Anterior resection","Colorectal","Videoscopic","Lithotomy","13","Colorectal","69.3","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:1-3hr"
"Colon cancer, sigmoid","Low anterior resection","Colorectal","Open","Lithotomy","12","Colorectal","74.6","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Rectal cancer","Low anterior resection","Colorectal","Open","Supine","12","Colorectal","66.8","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Hepatocellular carcinoma","Liver segmentectomy","Hepatic","Open","Lithotomy","12","Hepatic","70.5","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-5hr"
"Bladder disease","Transurethral resection of bladder tumor","Minor resection","Videoscopic","Lithotomy","12","Minor resection","85.1","Minor","Urology","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:<2hr"
"Varicose vein of lower limb","Ligation and stripping","Vascular","Open","Prone","12","Vascular","70.9","Minor","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Primary | Prone","Est.Duration:1-3hr"
"Pneumothorax","Bullectomy","Minor resection","Videoscopic","Right lateral decubitus","12","Minor resection","70.6","Minor","Thoracic","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:<2hr"
"Pancreatic cancer","Partial pancreatectomy","Biliary/Pancreas","Open","Supine","12","Biliary/Pancreas","76.6","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Ovarian cyst","Salpingo-oophorectomy","Minor resection","Videoscopic","Lithotomy","12","Minor resection","80.1","Major","Abdominal / GI","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:1-3hr"
"Hepatocellular carcinoma","Liver segmentectomy","Hepatic","Open","Supine","11","Hepatic","70.5","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Colon cancer, sigmoid","Anterior resection","Colorectal","Videoscopic","Supine","11","Colorectal","72.0","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Colon cancer","Hemicolectomy","Colorectal","Open","Supine","11","Colorectal","74.0","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Inguinal hernia","Hernia repair","Colorectal","Open","Supine","11","Colorectal","55.5","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Revision | Supine","Est.Duration:<2hr"
"Gallbladder cancer","Extended cholecystectomy","Biliary/Pancreas","Open","Supine","11","Biliary/Pancreas","77.0","Major","Abdominal / GI","Open","Cystoscopy / TURBT","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"End stage renal disease","Arteriovenous fistula","Vascular","Open","Supine","11","Vascular","72.3","Major","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Gastric submucosal tumor, benign","Gastric wedge resection","Stomach","Videoscopic","Supine","10","Stomach","69.7","Major","Abdominal / GI","Laparoscopic","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Pneumothorax","Bullectomy","Minor resection","Videoscopic","Left lateral decubitus","10","Minor resection","70.6","Minor","Thoracic","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:<2hr"
"Advanced gastric cancer","Total gastrectomy","Stomach","Open","Supine","10","Stomach","80.5","Major","Abdominal / GI","Open","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Abnormal chest CT, lung","Lung lobectomy","Major resection","Videoscopic","Left lateral decubitus","10","Major resection","67.7","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Unspecified gastric cancer","Distal gastrectomy","Stomach","Videoscopic","Supine","10","Stomach","68.8","Major","Abdominal / GI","Laparoscopic","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Hepatocellular carcinoma","Liver segmentectomy","Hepatic","Open","Supine","10","Hepatic","70.5","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Hepatocellular carcinoma","Liver transplantation","Transplantation","Open","Supine","10","Transplantation","71.7","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Transplant/Reconstruction | Supine","Est.Duration:>6hr"
"Solitary pulmonary nodule","Lung wedge resection","Minor resection","Videoscopic","Right lateral decubitus","10","Minor resection","70.6","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Colon cancer, hepatic flexure","Hemicolectomy","Colorectal","Open","Supine","10","Colorectal","64.1","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Breast cancer left","Simple mastectomy","Breast","Open","Supine","10","Breast","72.6","Major","ENT / Head & Neck","Open","Breast Surgery","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Hepatocellular carcinoma","Liver segmentectomy","Hepatic","Videoscopic","Lithotomy","10","Hepatic","70.5","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-5hr"
"Myoma uteri","Radical hysterectomy","Major resection","Videoscopic","Lithotomy","9","Major resection","80.5","Major","Abdominal / GI","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:1-3hr"
"Colon cancer","Anterior resection","Colorectal","Open","Lithotomy","9","Colorectal","60.4","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:1-3hr"
"Hepatocellular carcinoma","Hemihepatectomy","Hepatic","Videoscopic","Supine","9","Hepatic","67.5","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:3-6hr"
"Cholangiocarcinoma, intrahepatic","Hemihepatectomy","Hepatic","Open","Supine","9","Hepatic","64.6","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:3-6hr"
"Right inguinal hernia not specified as recurrent","Hernia repair","Colorectal","Open","Supine","9","Colorectal","58.9","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Revision | Supine","Est.Duration:<2hr"
"Advanced gastric cancer","Total gastrectomy","Stomach","Videoscopic","Supine","9","Stomach","69.6","Major","Abdominal / GI","Laparoscopic","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Adenomyomatosis of gallbladder","Cholecystectomy","Biliary/Pancreas","Videoscopic","Supine","9","Biliary/Pancreas","65.0","Major","Abdominal / GI","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Cholecystitis","Cholecystectomy","Biliary/Pancreas","Videoscopic","Supine","9","Biliary/Pancreas","74.9","Major","Abdominal / GI","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Infiltrating ductal carcinoma of breast right","Simple mastectomy","Breast","Open","Supine","9","Breast","56.9","Major","ENT / Head & Neck","Open","Breast Surgery","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Cholangiocarcinoma, intrahepatic","Extended hemihepatectomy","Hepatic","Open","Supine","9","Hepatic","70.3","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:3-6hr"
"Rectal cancer","Low anterior resection","Colorectal","Videoscopic","Lithotomy","9","Colorectal","79.8","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Gallbladder polyp","Cholecystectomy","Biliary/Pancreas","Robotic","Supine","9","Biliary/Pancreas","71.6","Major","Abdominal / GI","Robotic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Liver cirrhosis Unspecified","Liver transplantation","Transplantation","Open","Supine","8","Transplantation","68.0","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Transplant/Reconstruction | Supine","Est.Duration:>6hr"
"Hepatocellular carcinoma","Hemihepatectomy","Hepatic","Videoscopic","Lithotomy","8","Hepatic","67.5","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Lithotomy","Est.Duration:3-6hr"
"Colon cancer, transverse","Hemicolectomy","Colorectal","Videoscopic","Lithotomy","8","Colorectal","66.3","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Advanced gastric cancer","Partial gastrectomy","Stomach","Open","Supine","8","Stomach","65.7","Major","Abdominal / GI","Open","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Colon cancer, hepatic flexure","Hemicolectomy","Colorectal","Videoscopic","Lithotomy","8","Colorectal","64.1","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Gallbladder stone with cholecystitis with obstruction","Cholecystectomy","Biliary/Pancreas","Videoscopic","Supine","8","Others","55.8","Major","Urology","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Hepatocellular carcinoma","Liver segmentectomy","Hepatic","Videoscopic","Lithotomy","8","Hepatic","70.5","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-5hr"
"Living liver donor","Donor hepatectomy","Transplantation","Open","Supine","8","Transplantation","64.4","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:>6hr"
